Variation,d,radius,mag(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(GainTotal): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(S(1 1)): Freq(2.4GHz),mag(PolarizationRatioCircularLHCP): Theta(-180deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,mag(PolarizationRatioCircularLHCP): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1
1,13.5mm,15.5mm,43.8984037162861,32.848974564381,-1.66944301642388,-3.84447727041477,1.26499147723843,0.955454986492659
2,13.5mm,15.6mm,46.9913880541301,33.4403654722173,-1.58893562434705,-4.74293281814785,1.25076008613039,0.958325856344389
3,13.5mm,15.7mm,50.8690827245016,34.1290781293603,-1.50496792257801,-5.40875580727879,1.23885402044295,0.961441384829903
4,13.5mm,15.8mm,38.6685580107647,31.7471595419814,-1.30637905077347,-6.68384479214904,1.26438745618665,0.949582235899342
5,13.5mm,15.9mm,22.4834827077342,27.0372716927445,-1.41766126824351,-9.16049149402239,1.20604969550575,0.914833756777426
6,13.5mm,16mm,20.1073105367614,26.0670797041727,-1.59166318469267,-12.8139359148552,1.3270313013219,0.905246099614789
7,13.5mm,16.1mm,16.4955340102608,24.3473275906622,-1.09676280009299,-18.2018714025686,1.3041897384398,0.885685112622053
8,13.5mm,16.2mm,17.9914273712687,25.1013123996233,-1.3001756176529,-13.8207149721363,1.30992885177895,0.894689326878836
9,13.5mm,16.3mm,13.0701004458979,22.3255785043753,-1.33861042750089,-10.7882340328139,1.36879004558233,0.857854603974551
10,13.5mm,16.4mm,11.9110751889732,21.519019322959,-1.29416919909462,-7.1022923504162,1.1635552981648,0.845094233382816
11,13.5mm,16.5mm,11.6879746537154,21.3547852225161,-1.27313362371369,-4.71352293576431,1.40295297190741,0.842370429120117
12,13.5mm,16.6mm,9.5740696823281,19.6219316810938,-1.29798668207343,-3.11410683119756,1.28276619686519,0.810858065051104
13,13.5mm,16.7mm,10.6514698482086,20.5481908464245,-1.16287538496815,-2.17221264343935,1.96260628304892,0.828347837135115
14,13.5mm,16.8mm,5.89977302551225,15.4167060780507,-1.16406057335223,-0.872117290517127,1.15708297347541,0.710135392482491
15,13.5mm,16.9mm,6.51569581308741,16.2792160192326,-1.04054486482586,-0.765435412095491,1.4213117199753,0.733890241204638
16,13.5mm,17mm,7.08796907207806,17.0104362773114,-1.20602140486514,-0.970286189889792,1.26123505258941,0.752719133545582
17,13.6mm,15.5mm,54.9464707382136,34.7987960505159,-1.361775508225,-3.81149519559134,1.14426785624885,0.964251543062324
18,13.6mm,15.6mm,37.4803430609217,31.4760711474009,-1.65474670381197,-4.45435846148453,1.07301271219439,0.948025411394238
19,13.6mm,15.7mm,40.1555612564517,32.07491400885,-1.64816150862915,-5.04638737023833,1.3300111080107,0.951403894420551
20,13.6mm,15.8mm,38.0170680888923,31.5995724126538,-1.14110835541238,-6.61117694970773,1.11631457089362,0.948740382146516
21,13.6mm,15.9mm,31.0386965809252,29.8380695097145,-1.34737071200397,-8.19226541377991,1.43003323843205,0.937575487974416
22,13.6mm,16mm,23.149385170576,27.2907892197602,-1.56481739252701,-11.2105492616403,1.46183083433866,0.917182156569483
23,13.6mm,16.1mm,16.9948703412498,24.606357111486,-1.27519118027048,-16.8530490318734,1.27890758172628,0.888857215302331
24,13.6mm,16.2mm,15.8422257882662,23.9963239739244,-1.24200449527599,-14.975741125502,1.40937427646038,0.881250849790092
25,13.6mm,16.3mm,12.6399328939827,22.03489536524,-1.29146388223395,-9.76890647958154,1.21724840756439,0.853371712636335
26,13.6mm,16.4mm,14.8275637043125,23.4213959717563,-1.30523645216268,-8.23785913507433,1.35083918592845,0.873638164573928
27,13.6mm,16.5mm,11.3294644332322,21.0841876073484,-1.11081239818447,-4.82541428667785,1.44310894039136,0.837786952480328
28,13.6mm,16.6mm,10.3369786090457,20.2878723512363,-1.05190466552825,-3.295814693949,1.16656090572611,0.823586153862527
29,13.6mm,16.7mm,9.00020147932671,19.0850446340763,-1.19242211154243,-2.37690162176407,1.56448665158021,0.800004029505348
30,13.6mm,16.8mm,8.92522864227559,19.0123870095372,-1.1715478064365,-1.3116491613835,1.33816100530998,0.798493307098117
31,13.6mm,16.9mm,8.05055571997972,18.1165172043526,-1.00538495171358,-1.37611660262443,1.57207109412925,0.779019094309881
32,13.6mm,17mm,6.47701638383892,16.2274999123665,-1.35127044701459,-0.984057712401775,1.37664938314912,0.732513626113905
33,13.7mm,15.5mm,64.2175713433169,36.1530775374902,-1.96114549055982,-3.78541181364218,1.38778699006456,0.969333417991424
34,13.7mm,15.6mm,36.9754805623098,31.358276542738,-1.56532677159789,-4.1529105479575,1.22267815689496,0.947334438685551
35,13.7mm,15.7mm,41.0191958360191,32.2597428391244,-1.35561126513418,-5.05360520411684,1.19729714315204,0.95240270642482
36,13.7mm,15.8mm,27.6823262506496,28.8440516545461,-1.39532094776553,-6.08874295028763,1.06283277738114,0.930270648812709
37,13.7mm,15.9mm,28.0496809035267,28.9585585007022,-1.4195757746047,-7.69509503813113,1.13060833243886,0.931152427916783
38,13.7mm,16mm,21.3056643200627,26.569901604843,-1.21685522088295,-10.4742811150428,1.17030344931949,0.910336676312254
39,13.7mm,16.1mm,14.541686639177,23.2522956347326,-1.2671541175631,-16.4559251556433,1.01483324197388,0.87131383829613
40,13.7mm,16.2mm,16.1264516073702,24.1507763535214,-1.09615212681566,-18.7602729093443,1.31740393560099,0.883221577601088
41,13.7mm,16.3mm,14.631107443573,23.3055439913104,-1.23672370157971,-12.993851282684,1.29160150638763,0.872050012628995
42,13.7mm,16.4mm,13.6262786128817,22.6875452919503,-1.15342797256933,-7.00125597655104,1.47106207826024,0.863259817966372
43,13.7mm,16.5mm,12.3303085133503,21.8194788619542,-1.30153759855497,-5.35641440522965,1.42124587921373,0.849965963053519
44,13.7mm,16.6mm,9.75650173061491,19.7858825184317,-1.2985269336529,-3.94632137201294,1.23814301289702,0.814065943548576
45,13.7mm,16.7mm,8.94314958531402,19.0298098985819,-0.921281708878299,-2.68883809509378,1.3539099224876,0.798856490809111
46,13.7mm,16.8mm,8.63536573130439,18.7256147169897,-1.14454308853323,-1.86021451365002,1.70425802692064,0.792431335169542
47,13.7mm,16.9mm,7.13002746548625,17.0618240559045,-1.30566706751999,-1.2863907252822,1.12940222994601,0.753998371039897
48,13.7mm,17mm,6.49809960593896,16.2557272826173,-1.14631057479746,-1.0776638469644,1.5970248244798,0.733265746641205
49,13.8mm,15.5mm,42.0931171128396,32.4842217531549,-1.718843273445,-3.62811487656697,1.12963593446019,0.953588876043406
50,13.8mm,15.6mm,107.432669687787,40.6227273605344,-1.58244401149718,-4.15653289488434,1.26199259182829,0.98155537435573
51,13.8mm,15.7mm,60.8539098422643,35.6857697345988,-1.74808664406623,-4.73478627799918,1.38752578921886,0.96766574651303
52,13.8mm,15.8mm,30.7751732883745,29.7640101405791,-1.16587088265516,-5.81150973396873,1.04448767753641,0.937057778352644
53,13.8mm,15.9mm,21.8818279476174,26.8016719788255,-1.19222892301119,-7.73500302506801,1.22815754984525,0.912594395667229
54,13.8mm,16mm,20.4822435178839,26.2275505051312,-1.39475296394011,-10.5661824067433,1.28494085257987,0.906899854368795
55,13.8mm,16.1mm,17.3466409353965,24.7843077791276,-1.15523512438036,-13.5128838860038,1.21708385418279,0.890988219203584
56,13.8mm,16.2mm,13.5836418620935,22.6603244542182,-1.2496822205661,-19.4276622568239,1.17205470985006,0.862860044225407
57,13.8mm,16.3mm,18.1159923442163,25.1612425695788,-1.18222916652616,-11.7556087301447,1.28619859098383,0.895375559689156
58,13.8mm,16.4mm,13.9060859723435,22.8640982004008,-1.24293466434153,-8.34727480710236,1.62898343409808,0.865826615805734
59,13.8mm,16.5mm,11.8612171856411,21.4825851631675,-1.23001902255955,-5.22511723929602,1.45654437724501,0.844493723173192
60,13.8mm,16.6mm,9.69593254774048,19.7317917110193,-1.20590017531392,-4.19257545616962,1.41805680538734,0.813013031722746
61,13.8mm,16.7mm,9.28426220775691,19.3549479475558,-1.0432732460972,-2.72838124307258,1.27390778574066,0.805528101131893
62,13.8mm,16.8mm,7.55514620540765,17.5648574624152,-1.10566752714153,-2.14296186792346,1.08706499355281,0.766222580891041
63,13.8mm,16.9mm,6.21592561543572,15.8701161744186,-0.930615287425881,-1.1074763098785,1.38822236877453,0.722835280380141
64,13.8mm,17mm,7.15596253202612,17.0933611594917,-0.99439117153185,-1.09006811239096,1.51853735038557,0.754780629245589
65,13.9mm,15.5mm,49.048571401808,33.8125272510994,-1.54535479457194,-3.46167389607755,1.13605729859487,0.960038819411182
66,13.9mm,15.6mm,67.3305732760816,36.5642462443801,-1.56544460445162,-4.17468464993805,1.1360441860482,0.97073052509132
67,13.9mm,15.7mm,29.8902533876257,29.5105919336938,-1.65770882986791,-4.9714505315959,1.25591683415439,0.935254658649023
68,13.9mm,15.8mm,23.9426147914078,27.5834315659092,-1.44930038767546,-5.8837639413687,1.13970214326666,0.91981594485078
69,13.9mm,15.9mm,30.4701467514639,29.6774909178617,-1.34929028627456,-7.30993432292116,1.20330539770043,0.936447706590152
70,13.9mm,16mm,17.4825298083745,24.8520855480285,-1.19150550684372,-9.44571660816427,1.00525233949522,0.891789705157473
71,13.9mm,16.1mm,20.8794501462981,26.3943811494657,-1.06249215453381,-13.1381903081202,1.09358317444932,0.908590024583484
72,13.9mm,16.2mm,18.8508607045463,25.5066236857448,-1.08540841847495,-18.8704091390985,1.22196174735606,0.8992487011134
73,13.9mm,16.3mm,16.4392410521112,24.3176352732187,-1.44384653247171,-16.2637787747907,1.51661149866977,0.885316110143573
74,13.9mm,16.4mm,13.3702067726495,22.522762475122,-1.21141410895526,-9.51670633438758,1.47919375355627,0.860823157826333
75,13.9mm,16.5mm,11.8131181055143,21.4472909197281,-1.13227105999972,-5.76558118879415,1.42297457435742,0.843909969179221
76,13.9mm,16.6mm,8.7974376335808,18.8871239347249,-1.23709825271896,-3.77709461604351,1.3136369929725,0.795864992991128
77,13.9mm,16.7mm,9.64476489914752,19.6858329148757,-1.26107047587385,-2.79946373793851,1.78077929119287,0.812114215865851
78,13.9mm,16.8mm,8.22474227199788,18.30244595833,-1.08458100154673,-2.25341133822189,1.09430894160412,0.783191774791249
79,13.9mm,16.9mm,7.03212734053621,16.9417345302548,-1.16236871176412,-1.5619891194671,1.73051872607421,0.750999963620288
80,13.9mm,17mm,6.27973404761129,15.9588250272897,-0.994423154718913,-1.1650022663788,1.61677288681177,0.725264688665891
81,14mm,15.5mm,35.028067024169,30.8883234406733,-1.73492595280308,-3.70281609721275,1.13607122609448,0.944487724010885
82,14mm,15.6mm,46.8583585385561,33.4157414213976,-1.59603774654838,-3.9159961157528,1.02271243943124,0.958210016785495
83,14mm,15.7mm,40.5933481446597,32.1690974692047,-1.29860202531388,-4.88707178679064,1.12657490275167,0.951915388175914
84,14mm,15.8mm,48.520374024339,33.7184828002305,-1.29621126595568,-5.60701974430525,1.16032404042808,0.959612582913509
85,14mm,15.9mm,24.5029945525149,27.7843832694625,-1.37810706415431,-6.7399122922933,1.25511441118816,0.921577836834742
86,14mm,16mm,32.2293633106987,30.165034522669,-1.20163276009508,-8.61207246841937,1.60144826492984,0.939812268405514
87,14mm,16.1mm,25.6859466029693,28.1939115077836,-1.42878229086753,-12.3689287474121,1.37216102196288,0.925054185644759
88,14mm,16.2mm,18.7314117928047,25.4514102305993,-1.25261199241024,-17.5311603031341,1.38046360448634,0.898638778562752
89,14mm,16.3mm,15.4188727596284,23.7610524909423,-0.979159130034703,-15.7625431249705,1.41955303544986,0.878188957958326
90,14mm,16.4mm,14.5033828997198,23.2293862561837,-1.05332088524022,-10.0747312877224,1.30992625818272,0.87099589728664
91,14mm,16.5mm,9.81842747474812,19.8408387298193,-1.32189024017044,-6.93545064710169,1.34256140453148,0.815130248396238
92,14mm,16.6mm,8.30851405821411,18.3904671808028,-1.03213764115603,-3.85330692406659,1.17632464010173,0.785142936080637
93,14mm,16.7mm,8.48990989509386,18.5780616204946,-1.09820740413824,-3.24739584096286,1.68359680093928,0.789249843032338
94,14mm,16.8mm,8.07599339440304,18.1439191009856,-1.09904932690431,-2.20439964869395,1.33813028470399,0.779638446934816
95,14mm,16.9mm,6.68780958536681,16.5056779883748,-0.999787007747108,-1.49284376430606,1.56837427339871,0.739847875029728
96,14mm,17mm,6.41216615262931,16.1400953461161,-0.824387910256701,-1.09724222100413,1.72639030889872,0.730173344901268
97,14.1mm,15.5mm,42.8059669943154,32.6300862457206,-1.49535738473108,-3.51364060203911,0.984126579114537,0.954344119369411
98,14.1mm,15.6mm,79.5256878342835,38.0101486819865,-1.30237063095738,-3.94175246241488,1.13306557986806,0.975163205012097
99,14.1mm,15.7mm,202.965566071261,46.1484472869625,-1.52800764432475,-4.78031695167891,1.37601283703306,0.990194423311133
100,14.1mm,15.8mm,44.8005187964797,33.0256608644021,-1.51775553258961,-5.38393436095358,1.28976253927079,0.95633237237143
101,14.1mm,15.9mm,30.132697908629,29.5807603529332,-0.994473654914068,-7.03214021942069,1.1719813092171,0.935758860158224
102,14.1mm,16mm,31.397391627245,29.9378714016252,-1.20677209621382,-8.33554705979798,1.2054465042931,0.938266635073236
103,14.1mm,16.1mm,25.9160063372597,28.2713615494329,-1.42335507504084,-10.9551001011364,1.43530599042134,0.925694771544492
104,14.1mm,16.2mm,16.3172259881812,24.2529265682274,-1.06585017937804,-16.7200572404454,1.24545448762329,0.884508061431723
105,14.1mm,16.3mm,14.045306532546,22.950624438485,-1.22106885497064,-19.8478964283077,1.2051179793117,0.867068178659331
106,14.1mm,16.4mm,11.8687854079067,21.4881255540988,-1.36063413429987,-11.8421732319545,1.1982924100726,0.844585177496923
107,14.1mm,16.5mm,10.568799863182,20.4805134786186,-1.05023054328169,-6.75427882361725,1.45769975194226,0.827121220554169
108,14.1mm,16.6mm,10.026883711756,20.0233195635422,-0.996152633199227,-5.11893158338375,1.34735063338729,0.818625093700066
109,14.1mm,16.7mm,9.02181490705003,19.1058782560066,-1.01967766841114,-3.27233149159426,1.35743579587636,0.800435348432442
110,14.1mm,16.8mm,6.92317528974758,16.8061065554018,-1.0229022277547,-2.25335327696908,1.34210183176141,0.747575949431794
111,14.1mm,16.9mm,7.31327779505204,17.2822414085009,-0.910891535671281,-1.48722142393347,1.46378037152854,0.75942100705568
112,14.1mm,17mm,6.71705015941521,16.5435718278941,-1.19233387950597,-1.27033757416174,1.97465291574966,0.740833614051362
113,14.2mm,15.5mm,150.852944749331,43.57107584619,-1.36600702129507,-3.65347267719896,1.11409755222019,0.986829363083466
114,14.2mm,15.6mm,53.4312881603307,34.555912891923,-1.48971629784378,-4.01274101668501,1.12478791597597,0.963256427183776
115,14.2mm,15.7mm,62.3677446549588,35.8992007871903,-1.63384465559186,-4.67012931212052,1.27355246430837,0.968438201313774
116,14.2mm,15.8mm,42.7038875014566,32.6093482469087,-1.19540797526829,-5.10326551437432,1.09913694011035,0.954237480591782
117,14.2mm,15.9mm,29.4212138502236,29.3732117346412,-1.11063309322087,-6.38396308998108,1.21638239856881,0.934256403776429
118,14.2mm,16mm,43.2794117062101,32.7256269761278,-1.2231143164258,-8.11423780881744,1.14091606272614,0.95483228157434
119,14.2mm,16.1mm,21.0484739608407,26.4644122890294,-1.41087943189682,-10.2471500627009,1.21364519988745,0.909290774338754
120,14.2mm,16.2mm,20.873700995687,26.3919891629128,-1.16382002708235,-14.2405258467826,1.35346464534238,0.908565998941178
121,14.2mm,16.3mm,13.2290167076398,22.4305512989937,-1.32115277116087,-18.6119791624725,1.32986409408525,0.859442149721691
122,14.2mm,16.4mm,11.1627534162966,20.9554266268234,-1.19357076315356,-11.0989002096345,1.25978405385818,0.835563549506788
123,14.2mm,16.5mm,13.364244138713,22.5188880150588,-1.21022310505943,-8.95121485393924,1.64343037983074,0.860765385168454
124,14.2mm,16.6mm,11.0267555710937,20.8489549544378,-1.09289098492527,-5.01545849381285,1.52322693672092,0.833704111788304
125,14.2mm,16.7mm,8.766597847968,18.8566216905387,-1.12867188240888,-3.59951872784741,1.75050013793338,0.795220400068371
126,14.2mm,16.8mm,7.52964464249955,17.5354896078301,-0.939966819685551,-2.55965097719355,1.44039466549729,0.765523643267052
