Variation,d,radius,mag(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(AxialRatioValue): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(GainTotal): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,dB(S(1 1)): Freq(2.4GHz),mag(PolarizationRatioCircularLHCP): Theta(-180deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1,mag(PolarizationRatioCircularLHCP): Theta(0deg) Phi(0deg) Freq(2.4GHz): Infinite Sphere1
127,14.2mm,16.9mm,6.91120473678411,16.791075173049,-1.04580336835168,-1.67346064295189,1.57492960480966,0.747194003120567
128,14.2mm,17mm,6.18217264788847,15.8228225864587,-1.09063935068707,-1.3819796726647,1.93439806705978,0.721532731382057
129,14.3mm,15.5mm,296.333109933204,49.4356035768797,-1.54068492829929,-3.55065303755904,1.0265100604972,0.993273537546998
130,14.3mm,15.6mm,38.583189958127,31.7279626226843,-1.38805373899496,-3.93269756758739,0.957466322931918,0.949473501197966
131,14.3mm,15.7mm,54.4438502314705,34.7189766124607,-1.34800835849558,-4.54491687354254,1.14083356604301,0.963927469112439
132,14.3mm,15.8mm,53.0162978268325,34.4881879460575,-1.43812877768891,-4.92966425135387,1.24271519384265,0.962974137797972
133,14.3mm,15.9mm,38.9793633633614,31.8166948331195,-1.1908152709837,-6.66593464423113,1.14642480467761,0.94997419088887
134,14.3mm,16mm,23.0835939242679,27.2660685159894,-1.28513749174788,-7.46122092820247,1.01877950116064,0.916955915869986
135,14.3mm,16.1mm,25.9623459033423,28.2868786368704,-0.877972461791207,-9.61382338776953,1.222706507948,0.925822478237991
136,14.3mm,16.2mm,18.0256903399945,25.1178381225968,-1.01299615517464,-14.3966660393386,1.23075591127762,0.894878978672551
137,14.3mm,16.3mm,3.68438159472267,11.3272920825047,-0.707067297204613,-1.37347338332748,2.79843198440492,0.573049300199378
138,14.3mm,16.4mm,13.9325334111427,22.8806018639314,-1.11252621204678,-13.7544980925503,1.3972432142207,0.866064254140051
139,14.3mm,16.5mm,10.872043510362,20.7262236358433,-1.06270401147332,-8.18156224949849,1.2736235418387,0.831537005549686
140,14.3mm,16.6mm,9.54316346669192,19.5938472600976,-1.16870915030668,-5.73311728898868,1.27287894441395,0.810303614629668
141,14.3mm,16.7mm,8.67950699151189,18.7699011465098,-0.972369584728555,-4.14775293068651,1.51727660887324,0.793377906358885
142,14.3mm,16.8mm,7.67223065113906,17.6984330120613,-1.07261797275196,-2.41110991905949,1.28821369767114,0.769378827610252
143,14.3mm,16.9mm,6.9620021767012,16.8546830946482,-1.09745075490884,-1.89094260697185,1.7809607625432,0.748806901126893
144,14.3mm,17mm,5.92588765980572,15.4550682814263,-1.11506610083807,-1.50259676411848,1.357974675788,0.711228351044882
145,14.4mm,15.5mm,124.134801938502,41.8778711128049,-1.44192396621424,-3.60019049181368,1.15349150381517,0.984017236060493
146,14.4mm,15.6mm,67.8450334839767,36.6303612228336,-1.48416630838851,-4.16244392381549,1.02975452810234,0.970949247915386
147,14.4mm,15.7mm,99.5412139469257,39.9600586568795,-1.479230692209,-4.24370584915666,1.15613352106961,0.980107660117812
148,14.4mm,15.8mm,53.125765964703,34.5061040948034,-1.27703035675511,-5.23123888080786,1.10317189698193,0.963049021767114
149,14.4mm,15.9mm,42.1391851919736,32.493722675726,-1.39199617132541,-6.0611929615652,1.21611278234541,0.953638438206475
150,14.4mm,16mm,29.7483700939813,29.4692635165308,-1.40397148986422,-7.37204597583959,1.27205378607467,0.934955901926279
151,14.4mm,16.1mm,24.9165771538133,27.9297676415162,-0.987161908050248,-10.1008174102624,1.10412430772614,0.922829315455891
152,14.4mm,16.2mm,24.438105716046,27.7613507834955,-0.975239635872155,-12.8172526406543,1.34904265395151,0.921377793522635
153,14.4mm,16.3mm,18.4768347257708,25.3325514817601,-0.798405079359123,-19.2086831559675,1.0833620282194,0.89731391018307
154,14.4mm,16.4mm,14.2475277938083,23.0747902572035,-1.0564782209148,-14.8723843721741,1.32980040761069,0.86883119499463
155,14.4mm,16.5mm,11.7903890818499,21.4305627402602,-1.1118246032675,-9.44119721380846,1.34685937870125,0.843632591064951
156,14.4mm,16.6mm,9.17949342568147,19.2563743026707,-0.997612907869594,-5.99963257354631,1.30492117226997,0.803526568919994
157,14.4mm,16.7mm,7.29652246273553,17.2623184761419,-1.05185601698882,-4.16086314138231,1.50026734197272,0.758935143129769
158,14.4mm,16.8mm,6.58432040698447,16.3702191281656,-1.1524176537346,-2.07880926864589,1.84841355712216,0.736298060646517
159,14.4mm,16.9mm,5.7885478228028,15.251392512388,-1.04974789539018,-1.3666331702115,2.07800638919411,0.705386180932249
160,14.4mm,17mm,5.43702338267332,14.7072240149879,-0.925742184358342,-1.42281237129945,1.63236147587594,0.689297384660207
161,14.5mm,15.5mm,42.4923744002763,32.5662199878184,-1.55299144976489,-3.7896545614715,1.07191778322759,0.954014927269933
162,14.5mm,15.6mm,67.673236821212,36.6083389870279,-1.54180595220598,-4.05297958352102,1.08243860524638,0.9708765729915
163,14.5mm,15.7mm,64.3297826733787,36.1682416843382,-1.51248513978007,-4.52989126694758,1.15246638195966,0.969386091332966
164,14.5mm,15.8mm,46.9276714982329,33.4285801102218,-1.4468874597589,-4.88600079133338,1.15080088500961,0.958270453425351
165,14.5mm,15.9mm,61.7042457930691,35.806300966584,-0.886212858985079,-6.24780781961806,1.19344014393157,0.968104233218908
166,14.5mm,16mm,31.8926684327269,30.0738171563398,-1.09305533404073,-7.40464224204833,1.2048073525332,0.939196176677168
167,14.5mm,16.1mm,31.9808328181654,30.0977953818405,-1.12291467393114,-9.48395283801345,1.21634413498438,0.939358717500353
168,14.5mm,16.2mm,20.5644622903286,26.2623471654075,-1.18568312776106,-12.625652047365,1.04566603660894,0.90725481706553
169,14.5mm,16.3mm,15.4174314440477,23.7602405189242,-0.921086735534283,-18.3253950237454,0.964377661441178,0.878178263949741
170,14.5mm,16.4mm,14.1459724262106,23.0126561441265,-1.22197569722355,-15.8917771976393,1.23439432166174,0.867951694105891
171,14.5mm,16.5mm,13.5108002026575,22.6136214338928,-0.897962027827126,-10.5132486010969,1.21305098577141,0.862171625818835
172,14.5mm,16.6mm,11.1576702777952,20.9514704670832,-1.19852643350265,-6.71222934566719,1.48208003021016,0.835494798402881
173,14.5mm,16.7mm,8.47772316155632,18.5655846131945,-1.0589699211883,-4.60391325138169,1.38263327861127,0.788978854318891
174,14.5mm,16.8mm,6.7562349074317,16.5940948227982,-1.08583235845572,-2.6909596538352,1.2753101413326,0.742142930962073
175,14.5mm,16.9mm,6.86419114747339,16.731787376583,-0.781147370134904,-2.07568643222015,1.67033739091058,0.745682682109964
176,14.5mm,17mm,5.10718004567075,14.1636233700068,-0.685603533726203,-1.53640494756664,1.544576729328,0.672516614043865
177,14.6mm,15.5mm,81.4783017667769,38.2208393704791,-1.40382142600766,-3.89106107533284,1.01427500343613,0.975751198107165
178,14.6mm,15.6mm,73.491082096137,37.3246928411625,-1.27913951163937,-4.26103531296648,0.949705226712168,0.973151148517096
179,14.6mm,15.7mm,186.20036158035,45.3996103999525,-1.42497347808385,-4.75112434897757,1.22841251856797,0.989316259952086
180,14.6mm,15.8mm,763.405659101869,57.6551075007239,-1.2775104030155,-5.43366990267575,1.19272390559393,0.997383588182288
181,14.6mm,15.9mm,40.4982154478274,32.1487177293617,-1.3641299916578,-6.29950009094791,0.942710357312108,0.951805156476802
182,14.6mm,16mm,31.3300960740498,29.9192345330415,-1.15709850923758,-7.15648448773096,0.914396477271001,0.938138136199189
183,14.6mm,16.1mm,20.5187402547621,26.2430138761643,-1.10630743895013,-8.95102422762416,1.11759109268651,0.907057756340667
184,14.6mm,16.2mm,28.6847647754927,29.1530258575089,-1.3443179033906,-13.7146457402241,1.43255247290376,0.932625371461553
185,14.6mm,16.3mm,15.1099528267938,23.5852621695136,-1.0060327570919,-18.1439654612011,1.13761170570912,0.875853143612337
186,14.6mm,16.4mm,16.9045526968324,24.5600736719648,-1.09620143249408,-16.6714834041189,1.22272341831585,0.888296567143293
187,14.6mm,16.5mm,12.2298071423409,21.7483921698712,-1.03497486493614,-10.953440317351,1.32938916655043,0.848826216551625
188,14.6mm,16.6mm,9.83403905726313,19.8546385763783,-0.867969408827816,-7.64407868733563,1.07344892204806,0.815396641139188
189,14.6mm,16.7mm,7.23189656450406,17.1850441187422,-1.10393998703487,-4.10392419430202,1.58264929860814,0.7570426226413
190,14.6mm,16.8mm,6.66036511512988,16.4699607489911,-0.933109465051809,-3.44298639904565,1.3949878061489,0.738915838874334
191,14.6mm,16.9mm,6.13724485181526,15.7594690052615,-1.00399164964431,-2.07797849367889,1.43088747272196,0.719779825195246
192,14.6mm,17mm,5.21350380577851,14.3425938981083,-0.915601946051485,-1.73066115127352,1.46792038068426,0.678120419248796
193,14.7mm,15.5mm,98.5808667903951,39.8758526489914,-1.76933925390055,-3.8732106275294,0.963955114024138,0.979915820533981
194,14.7mm,15.6mm,81.4246602579911,38.2151191031938,-1.17024985007342,-4.36508315170161,0.99490359824413,0.975735417122255
195,14.7mm,15.7mm,429.96523962231,52.668666932502,-1.20052658985188,-4.54417564889051,1.15897942317747,0.995359254491725
196,14.7mm,15.8mm,65.8921357303822,36.3766716871134,-1.50557893514938,-5.41886746808703,1.10836229260967,0.970101119090273
197,14.7mm,15.9mm,48.5020500842729,33.7152019149197,-1.50681081458693,-6.49498052032303,1.2235888889731,0.959597632894089
198,14.7mm,16mm,38.3723885798266,31.6803766744805,-1.09431381861104,-7.64170952129098,1.1515710435597,0.94920298025747
199,14.7mm,16.1mm,28.9332467572073,29.2279434186365,-0.84568973386327,-8.81849673290649,1.06547239793077,0.933184661983971
200,14.7mm,16.2mm,31.5635995612069,29.9837304993834,-1.07176401449025,-12.2716972716208,1.25633128894782,0.938581728465222
201,14.7mm,16.3mm,20.8053260608665,26.3634905288234,-0.935179190789692,-16.3323222937213,1.14203379032246,0.908279289453536
202,14.7mm,16.4mm,15.4960021568481,23.8043933631875,-1.08155967354642,-17.449568182299,1.16689481811274,0.878758502758214
203,14.7mm,16.5mm,13.3629584952202,22.5180523901972,-1.20556373410973,-11.6081766685174,1.36101930821051,0.860752922131915
204,14.7mm,16.6mm,10.3682023986489,20.3140693302495,-0.955253507588319,-8.09483547883074,1.13080974556669,0.82407069034611
205,14.7mm,16.7mm,8.47167761190813,18.5593884083877,-1.05255284351263,-5.12492686163728,1.35901807386093,0.7888441644714
206,14.7mm,16.8mm,6.85555105311656,16.7208473873514,-0.795533277235987,-3.6676451635771,1.20378265639621,0.74540296581657
207,14.7mm,16.9mm,3.67471651234611,11.3044768173969,-0.642576884292511,-1.43128296999857,1.97361247213799,0.572166569947521
208,14.7mm,17mm,5.26113751338641,14.4215930670187,-0.888239613319166,-1.83222492825548,2.12494180755613,0.680569226322858
209,14.8mm,15.5mm,122.248017247788,41.7448364797859,-1.46994480870214,-3.77782328490505,0.967494202552966,0.983772558417885
210,14.8mm,15.6mm,250.475377605103,47.9753008000085,-1.49385319617785,-4.2421500453345,1.02928389826289,0.992046935095409
211,14.8mm,15.7mm,62.7672160702188,35.9546573341568,-1.26415801065163,-4.71688944981659,0.925923390982096,0.968635921038208
212,14.8mm,15.8mm,66.6260463085423,36.4728808466838,-1.23104648886618,-5.50701932475321,1.11739374619647,0.970425596213698
213,14.8mm,15.9mm,68.5632899343548,36.7218329712013,-1.34065425587942,-6.03217976997015,1.04855681835463,0.971249203396111
214,14.8mm,16mm,42.2318349294866,32.5127990296055,-1.12311673175197,-7.25874950390029,1.16370457062044,0.953737795232099
215,14.8mm,16.1mm,36.1384550714183,31.1593916483392,-1.36998217097064,-8.7607889424968,1.13824882362325,0.946147463696216
216,14.8mm,16.2mm,26.4680680136653,28.4544448391543,-1.30018847379779,-11.9261375785883,1.12166445681182,0.92718818087224
217,14.8mm,16.3mm,20.5932115889318,26.2744816352118,-0.978574280204073,-15.6263684909419,1.07179605159216,0.907378298417399
218,14.8mm,16.4mm,14.4234074693205,23.1813574549716,-0.910391870290074,-17.5651776853732,1.1026563285284,0.870326968668998
219,14.8mm,16.5mm,11.7498545509764,21.4006498119861,-1.00063232793134,-13.4514832871845,1.11548913505635,0.84313546542797
220,14.8mm,16.6mm,10.3621893110537,20.3090304465244,-0.993796621751439,-8.10176211646737,1.26546735401993,0.823977585195284
221,14.8mm,16.7mm,8.71631116273497,18.8066545137391,-1.04597281967775,-5.509644122023,1.29021954409633,0.794160565002219
222,14.8mm,16.8mm,7.21432784543277,17.1639174871965,-1.01622873951383,-4.10573342795527,1.42049981059428,0.756522987926271
223,14.8mm,16.9mm,5.56932757771503,14.9160552610455,-0.52796750983737,-2.64176249655052,1.45157227491352,0.69555483779123
224,14.8mm,17mm,4.60158136188136,13.2581421063181,-0.903379856564481,-1.73162329649996,1.61296424650561,0.642957966546741
225,14.9mm,15.5mm,156.228031322176,43.875179202391,-1.32348155642557,-3.85180358746699,0.932621978402063,0.987279621940303
226,14.9mm,15.6mm,343.129408913425,50.7091588427013,-1.25058297894124,-4.52708427836075,1.06483910403309,1.00584574125432
227,14.9mm,15.7mm,62.1356359072293,35.8668149468486,-1.48197401227634,-4.78001157444206,1.09689663085346,0.968322169068848
228,14.9mm,15.8mm,1053.43056909483,60.4521183365632,-1.31596969266591,-5.52099452648704,1.15655871775138,1.00190036289208
229,14.9mm,15.9mm,38.8364831493998,31.7847979067162,-1.33124274221575,-6.53535701162179,0.992430043661009,0.949794764952033
230,14.9mm,16mm,51.8709846251194,34.2984898386832,-1.08817602254569,-7.83189601280887,1.05590258444367,0.962172068211308
231,14.9mm,16.1mm,29.5392340532131,29.4079845989528,-1.19458480733816,-9.77050329655542,1.18724472018346,0.934510472773643
232,14.9mm,16.2mm,38.0640480628944,31.6102994614115,-1.31749111042769,-12.1311123620214,1.10497675701083,0.948802028996587
233,14.9mm,16.3mm,20.9891987124028,26.4399171838211,-0.94975754071579,-14.8606268943279,1.13915362983299,0.909046253746758
234,14.9mm,16.4mm,24.3191575282776,27.7189705179699,-0.994321621429849,-19.2083502190072,1.28653600149745,0.921008430167303
235,14.9mm,16.5mm,14.7536668116506,23.3779994275123,-1.1199418029765,-14.7485951057336,1.42877985782453,0.873045429745861
236,14.9mm,16.6mm,12.3349751722665,21.8227655936477,-1.01806651385822,-9.74428500691409,1.34406241828832,0.850018468413837
237,14.9mm,16.7mm,9.08519900100234,19.1666888895474,-0.86597102134684,-6.20332864377702,1.4063534460231,0.801689584925272
238,14.9mm,16.8mm,7.21110616296818,17.1600377871077,-0.780983387342714,-4.22919583371397,1.43149450419179,0.756427458090856
239,14.9mm,16.9mm,5.79830704786896,15.2660241916261,-1.06615212773013,-3.07329607021025,1.28134597815298,0.705809110133245
240,14.9mm,17mm,5.30736183458668,14.4975739418003,-1.00634435169496,-2.12972999225514,1.8736911907043,0.682910216275699
241,15mm,15.5mm,74.2826668051029,37.4177497370981,-1.61520954235503,-3.77565637497782,1.08070471179439,0.973433459720845
242,15mm,15.6mm,703.764379490031,56.9485456312733,-1.39704839367598,-4.27417785319471,1.1566721002349,1.00284590405884
243,15mm,15.7mm,65.9812900434642,36.3884160493702,-1.33411165606321,-4.85526160772318,0.929630238287398,0.97014091548995
244,15mm,15.8mm,814.93428054401,58.222451739268,-1.36966866061215,-5.45851038388386,1.08493212424542,1.00245720084263
245,15mm,15.9mm,46.1684479700917,33.2869055051644,-1.29040885621901,-6.84540129632473,0.940202738641522,0.957598774475935
246,15mm,16mm,38.9412189142659,31.8081908283513,-1.2166114178093,-7.73621612007497,1.03819553171188,0.949926415508425
247,15mm,16.1mm,41.5699559784893,32.3755912919962,-0.937298944922971,-10.3590642697772,0.934426527664527,0.9530185090863
248,15mm,16.2mm,43.3254941820416,32.7348705018378,-1.21679868028786,-11.541977621578,1.13785095881012,0.954879239658645
249,15mm,16.3mm,21.8395776126304,26.7848846932202,-0.919712536748386,-14.6594648992895,0.926433316859122,0.912432706334552
250,15mm,16.4mm,17.5812755573496,24.9010076166004,-1.26417015471284,-18.3875110074177,1.19607701152074,0.892364762912688
251,15mm,16.5mm,15.5310050247431,23.8239912041751,-1.02055065063374,-14.1675496388295,1.19085234651,0.879015220368849
252,15mm,16.6mm,12.326316985724,21.8166666386227,-0.923957137893222,-9.47579793024087,1.40036098578272,0.849921024530444
253,15mm,16.7mm,12.0040943975151,21.5865880392194,-1.07821562464648,-7.27531125272992,1.53586789045278,0.846202285306221
254,15mm,16.8mm,7.2325226322739,17.1857960266459,-0.861562785644939,-4.7074434626776,1.33170232069574,0.757061099090161
255,15mm,16.9mm,6.37726315867112,16.0926867716116,-0.721751927446715,-3.28149662364529,1.62515308277491,0.728896752496997
256,15mm,17mm,5.22025114937193,14.3538279533883,-0.982398113592681,-2.43713920507321,2.15408917748702,0.678469574302969
